freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-108,44,87,380,6,10,56
5805,-108,44,87,380,7,10,55
5805,-108,48,87,380,7,9,55
5805,-108,50,87,380,6,10,56
5805,-108,54,87,380,6,11,55
5805,-108,41,87,380,6,11,56
5805,-108,41,87,380,7,10,56
5805,-108,54,87,380,5,10,55
5805,-108,49,87,380,5,11,56
5805,-108,54,87,380,6,9,55
5805,-108,54,87,380,6,10,56
5805,-108,47,87,380,5,10,55
5805,-108,34,87,380,5,7,54
5805,-108,36,87,380,6,7,54
5805,-108,45,87,380,7,10,55
5805,-108,55,87,380,6,10,55
5805,-108,51,87,380,7,10,56
5805,-108,35,87,380,4,8,55
5805,-108,49,87,380,6,9,56
5805,-108,49,87,380,6,9,55
5805,-108,39,87,380,6,8,55
5805,-108,47,87,380,6,9,55
5805,-108,52,87,380,6,10,55
5805,-108,39,87,380,4,9,55
5805,-108,46,87,380,6,10,56
5805,-108,58,87,380,6,9,56
5805,-108,31,87,380,5,10,56
5805,-108,55,87,380,5,9,54
5805,-108,44,87,380,4,9,55
5805,-108,49,87,380,6,10,56
5805,-108,50,87,380,6,9,56
5805,-108,46,87,380,6,7,55
5805,-108,45,87,380,7,9,57
5805,-108,48,87,380,7,9,55
5805,-108,43,87,380,6,10,56
5805,-108,42,87,380,5,11,55
5805,-108,41,87,380,6,7,54
5805,-108,40,87,380,7,11,56
5805,-108,50,87,380,6,10,56
5805,-108,53,87,380,6,11,56
5805,-108,45,87,380,5,9,56
5805,-108,38,87,380,6,9,56
5805,-108,57,87,380,6,11,56
5805,-108,49,87,380,6,8,55
5805,-108,45,87,380,7,11,56
5805,-108,45,87,380,6,10,56
5805,-108,47,87,380,5,10,56
5805,-108,48,87,380,6,10,56
5805,-108,53,87,380,7,9,55
5805,-108,46,87,380,6,11,56
5805,-108,44,87,380,7,11,56
5805,-108,44,87,380,7,10,56
5805,-108,52,87,380,7,9,55
5805,-108,46,87,380,6,10,55
5805,-108,58,87,380,6,10,56
5805,-108,50,87,380,5,10,57
5805,-108,51,87,380,5,7,55
5805,-108,48,87,380,6,9,55
5805,-108,47,87,380,6,9,56
5805,-108,43,87,380,6,9,56
5805,-108,60,87,380,5,10,56
5805,-108,55,87,380,5,9,56
5805,-108,41,87,380,6,8,55
5805,-108,46,87,380,6,11,57
5805,-108,38,87,380,6,10,56
5805,-108,47,87,380,7,11,56
5805,-108,42,87,380,5,8,54
5805,-108,49,87,380,6,9,56
5805,-108,52,87,380,7,11,56
5805,-108,52,87,380,6,10,55
5805,-108,61,87,380,6,8,55
5805,-108,48,87,380,4,10,56
5805,-108,51,87,380,6,8,56
5805,-108,44,87,380,7,10,55
5805,-108,35,87,380,5,8,54
5805,-108,42,87,380,5,11,56
5805,-108,41,87,380,6,9,56
5805,-108,46,87,380,6,9,55
5805,-108,47,87,380,6,11,55
5805,-108,65,87,380,5,9,56
5805,-108,43,87,380,4,9,55
5805,-108,53,87,380,6,10,55
5805,-108,55,87,380,5,8,55
5805,-108,64,87,380,6,9,56
5805,-108,61,87,380,6,7,55
5805,-108,47,87,380,6,9,55
5805,-108,51,87,380,6,10,56
5805,-108,59,87,380,7,9,56
5805,-108,59,87,380,5,9,56
5805,-108,44,87,380,6,9,55
5805,-108,62,87,380,6,10,56
5805,-108,53,87,380,5,8,55
5805,-108,62,87,380,6,9,56
5805,-108,47,87,380,7,9,56
5805,-108,51,87,380,7,11,56
5805,-108,44,87,380,5,11,56
5805,-108,60,87,380,6,8,55
5805,-108,52,87,380,6,8,56
5805,-108,42,87,380,6,9,55
5805,-108,65,87,380,6,12,57
5805,-108,71,87,380,6,9,56
5805,-108,63,87,380,6,8,57
5805,-108,41,87,380,5,10,56
5805,-108,64,87,380,6,10,55
5805,-108,37,87,380,7,10,55
5805,-108,46,87,380,5,10,56
5805,-108,55,87,380,6,10,56
5805,-108,41,87,380,6,9,56
5805,-108,38,87,380,7,9,55
5805,-108,53,87,380,7,10,56
5805,-108,60,87,380,6,11,56
5805,-108,47,87,380,5,10,56
5805,-108,40,87,380,5,10,56
5805,-108,47,87,380,6,12,56
5805,-108,57,87,380,5,9,55
5805,-108,35,87,380,6,9,55
5805,-108,57,87,380,5,9,56
5805,-108,58,87,380,6,10,56
5805,-108,54,87,380,5,9,56
5805,-108,41,87,380,6,10,55
5805,-108,54,87,380,5,9,55
5805,-108,57,87,380,6,9,56
5805,-108,50,87,380,5,9,55
5805,-108,47,87,380,5,11,56
5805,-108,69,87,380,6,9,56
5805,-108,54,87,380,5,10,57
5805,-108,44,87,380,5,8,54
5805,-108,45,87,380,6,11,56
5805,-108,57,87,380,5,9,55
5805,-108,46,87,380,6,9,55
5805,-108,61,87,380,5,11,56
5805,-108,43,87,380,7,10,55
5805,-108,57,87,380,6,10,55
5805,-108,49,87,380,5,10,56
5805,-108,52,87,380,5,9,56
5805,-108,55,87,380,5,8,55
5805,-108,46,87,380,7,9,55
5805,-108,61,87,380,6,9,56
5805,-108,62,87,380,6,9,54
5805,-108,36,87,380,4,9,54
5805,-108,47,87,380,5,9,55
5805,-108,50,87,380,6,11,56
5805,-108,55,87,380,6,8,54
5805,-108,43,87,380,7,10,57
5805,-108,59,87,380,6,10,57
5805,-108,60,87,380,6,9,56
5805,-108,44,87,380,5,9,55
5805,-108,35,87,380,6,9,56
5805,-108,52,87,380,5,8,54
5805,-108,49,87,380,7,8,56
5805,-108,44,87,380,6,8,54
5805,-108,33,87,380,6,8,54
5805,-108,51,87,380,6,9,55
5805,-108,64,87,380,6,11,56
5805,-108,57,87,380,5,9,55
5805,-108,48,87,380,7,9,55
5805,-108,33,87,380,7,10,56
5805,-108,44,87,380,6,8,55
5805,-108,32,87,380,6,10,55
5805,-108,56,87,380,4,7,55
5805,-108,47,87,380,6,8,54
5805,-108,49,87,380,5,9,55
5805,-108,45,87,380,6,9,55
5805,-108,43,87,380,5,10,56
5805,-108,45,87,380,6,10,56
5805,-108,68,87,380,6,9,56
5805,-108,47,87,380,5,10,56
5805,-108,44,87,380,6,11,56
5805,-108,54,87,380,6,10,56
5805,-108,75,87,380,4,8,55
5805,-108,54,87,380,6,9,55
5805,-108,40,87,380,5,9,55
5805,-108,55,87,380,7,10,55
5805,-108,49,87,380,6,11,55
5805,-108,59,87,380,6,10,56
5805,-108,52,87,380,5,11,57
5805,-108,58,87,380,6,9,56
5805,-108,54,87,380,6,11,57
5805,-108,50,87,380,6,8,55
5805,-108,57,87,380,6,9,56
5805,-108,60,87,380,7,9,55
5805,-108,55,87,380,6,9,55
5805,-108,56,87,380,6,13,57
5805,-108,49,87,380,6,8,55
5805,-108,43,87,380,5,11,55
5805,-108,57,87,380,4,9,55
5805,-108,56,87,380,6,10,56
5805,-108,56,87,380,6,9,55
5805,-108,53,87,380,6,10,56
5805,-108,57,87,380,7,10,57
5805,-108,54,87,380,7,11,57
5805,-108,51,87,380,5,9,56
5805,-108,69,87,380,7,10,56
5805,-108,56,87,380,6,10,56
5805,-108,56,87,380,6,8,55
5805,-108,62,87,380,6,9,55
5805,-108,75,87,380,6,10,56
5805,-108,47,87,380,6,10,56
5805,-108,44,87,380,6,8,54
5805,-108,43,87,380,6,10,55
5805,-108,40,87,380,5,10,55
5805,-108,62,87,380,6,9,56
5805,-108,38,87,380,5,11,55
5805,-108,55,87,380,6,10,57
5805,-108,41,87,380,6,8,55
5805,-108,61,87,380,6,7,55
5805,-108,50,87,380,5,11,56
5805,-108,43,87,380,6,9,55
5805,-108,52,87,380,7,8,55
